"SSBS","LandUse"
"DI1_2010__Milder 2  33","Perennial"
"DI1_2010__Milder 2  34","Perennial"
"DI1_2010__Milder 2  35","Perennial"
"DI1_2010__Milder 2  36","Perennial"
"DI1_2010__Milder 2  37","Perennial"
"DI1_2010__Milder 2  38","Perennial"
"DI1_2010__Milder 2  39","Perennial"
"DI1_2010__Milder 2  40","Perennial"
"DI1_2010__SaldanaVazquez 1 coffee 5","Perennial"
"DI1_2010__SaldanaVazquez 1 coffee 6","Perennial"
"DI1_2010__SaldanaVazquez 1 coffee 7","Perennial"
"DI1_2010__SaldanaVazquez 1 coffee 8","Perennial"
"DI1_2012__GhelerCosta 1  5","Secondary vegetation and Timber Light and Intense"
"DI1_2012__GhelerCosta 1  6","Secondary vegetation and Timber Light and Intense"
"DI1_2012__GhelerCosta 1  7","Secondary vegetation and Timber Light and Intense"
"DI1_2012__GhelerCosta 1  8","Secondary vegetation and Timber Light and Intense"
"DI1_2012__GhelerCosta 1  9","Perennial"
"DI1_2012__GhelerCosta 1  10","Perennial"
"DI1_2012__GhelerCosta 1  11","Perennial"
"DI1_2012__GhelerCosta 1  12","Perennial"
"DI1_2012__Martin 1  2","Secondary vegetation and Timber Light and Intense"
"DI1_2012__Martin 1  3","Secondary vegetation and Timber Light and Intense"
"DI1_2012__Martin 1  4","Secondary vegetation and Timber Light and Intense"
"DI1_2012__Martin 1  7","Secondary vegetation and Timber Light and Intense"
"DI1_2012__Martin 1  8","Secondary vegetation and Timber Light and Intense"
"DI1_2012__Martin 1  11","Secondary vegetation and Timber Light and Intense"
"DI1_2012__Martin 1  12","Secondary vegetation and Timber Light and Intense"
"DI1_2012__Martin 1  13","Secondary vegetation and Timber Light and Intense"
"DI1_2012__Martin 1  14","Secondary vegetation and Timber Light and Intense"
"DI1_2012__Martin 1  16","Secondary vegetation and Timber Light and Intense"
"DI1_2012__Martin 1  17","Secondary vegetation and Timber Light and Intense"
"DI1_2012__Martin 1  19","Secondary vegetation and Timber Light and Intense"
"DI1_2012__Martin 1  20","Secondary vegetation and Timber Light and Intense"
"DI1_2012__Martin 1  23","Secondary vegetation and Timber Light and Intense"
"DI1_2012__Martin 1  26","Secondary vegetation and Timber Light and Intense"
"DI1_2012__Martin 1  27","Secondary vegetation and Timber Light and Intense"
"DI1_2012__Martin 1  28","Secondary vegetation and Timber Light and Intense"
"DI1_2012__Martin 1  29","Secondary vegetation and Timber Light and Intense"
"DI1_2012__Reid 1  20","Timber"
"DI1_2012__Reid 1  21","Timber"
"DI1_2012__Reid 1  22","Timber"
"DI1_2012__Reid 1  23","Timber"
"DI1_2012__Reid 1  24","Timber"
"DI1_2012__Reid 1  25","Timber"
"DI1_2012__Reid 1  26","Timber"
"DI1_2012__Reid 1  27","Timber"
"DI1_2012__Roes 1  33","Timber"
"DI1_2012__Roes 1  34","Secondary vegetation and Timber Light and Intense"
"DI1_2012__Roes 1  38","Perennial"
"DI1_2012__Roes 1  52","Perennial"
"DI1_2012__Roes 1  147","Perennial"
"DI1_2012__Roes 1  148","Perennial"
"DI1_2012__Roes 1  152","Perennial"
"DI1_2012__Roes 1  154","Perennial"
"DI1_2012__Roes 1  157","Perennial"
"DI1_2013__Azhar 1  2","Perennial"
"DI1_2013__Azhar 1  3","Perennial"
"DI1_2013__Azhar 1  6","Perennial"
"DI1_2013__Azhar 1  7","Perennial"
"DI1_2013__Azhar 1  8","Perennial"
"DI1_2013__Azhar 1  9","Perennial"
"DI1_2013__Azhar 1  10","Perennial"
"DI1_2013__Azhar 1  11","Perennial"
"DI1_2013__Azhar 1  12","Perennial"
"DI1_2013__Azhar 1  13","Perennial"
"DI1_2013__Azhar 1  14","Perennial"
"DI1_2013__Azhar 1  15","Perennial"
"DI1_2013__Azhar 1  16","Perennial"
"DI1_2013__Azhar 1  17","Perennial"
"DI1_2013__Azhar 1  18","Perennial"
"DI1_2013__Azhar 1  19","Perennial"
"DI1_2013__Azhar 1  20","Perennial"
"DI1_2013__Azhar 1  21","Perennial"
"DI1_2013__Azhar 1  22","Perennial"
"DI1_2013__Azhar 1  23","Perennial"
"DI1_2013__Azhar 1  24","Perennial"
"DI1_2013__Azhar 1  25","Perennial"
"DI1_2013__Azhar 1  26","Perennial"
"DI1_2013__Azhar 1  27","Perennial"
"DI1_2013__Azhar 1  28","Perennial"
"DI1_2013__Azhar 1  29","Perennial"
"DI1_2013__Azhar 1  30","Perennial"
"DI1_2013__Azhar 1  31","Perennial"
"DI1_2013__Azhar 1  32","Perennial"
"DI1_2013__Azhar 1  33","Perennial"
"DI1_2013__Azhar 1  34","Perennial"
"DI1_2013__Azhar 1  36","Perennial"
"DI1_2013__Azhar 1  37","Perennial"
"DI1_2013__Azhar 1  38","Perennial"
"DI1_2013__Azhar 1  39","Perennial"
"DI1_2013__Azhar 1  40","Perennial"
"DI1_2013__Azhar 1  41","Perennial"
"DI1_2013__Faruk 1 2 3","Perennial"
"DI1_2013__Faruk 1 2 4","Perennial"
"DI1_2013__Faruk 1 4 7","Perennial"
"DI1_2013__Faruk 1 4 8","Perennial"
"DI1_2013__Faruk 1 5 9","Perennial"
"DI1_2013__Faruk 1 5 10","Perennial"
"DL1_2005__Cockle 1  2","Perennial"
"DL1_2009__Delabie 1  2","Perennial"
"DL1_2009__Oke 1  2","Perennial"
"DL1_2009__Oke 1  3","Perennial"
"DL1_2010__Proenca 1  1","Timber"
"DL1_2010__Proenca 1  2","Timber"
"DL1_2010__Proenca 1  3","Timber"
"DL1_2010__Proenca 1  4","Timber"
"DL1_2010__Proenca 1  5","Timber"
"DL1_2010__Proenca 1  6","Timber"
"DL1_2010__Proenca 1  7","Timber"
"DL1_2010__Proenca 1  8","Timber"
"DL1_2010__Proenca 1  18","Timber"
"DL1_2010__Proenca 1  19","Timber"
"DL1_2010__Proenca 1  20","Timber"
"DL1_2010__Proenca 1  21","Timber"
"DL1_2010__Proenca 1  22","Timber"
"DL1_2010__Proenca 1  23","Timber"
"DL1_2010__Proenca 1  24","Timber"
"DL1_2010__Proenca 1  25","Timber"
"DL1_2010__Proenca 1  26","Timber"
"DL1_2010__Proenca 2  1","Timber"
"DL1_2010__Proenca 2  2","Timber"
"DL1_2010__Proenca 2  3","Timber"
"DL1_2010__Proenca 2  4","Timber"
"DL1_2010__Proenca 2  5","Timber"
"DL1_2010__Proenca 2  6","Timber"
"DL1_2010__Proenca 2  7","Timber"
"DL1_2010__Proenca 2  8","Timber"
"DL1_2010__Proenca 2  18","Timber"
"DL1_2010__Proenca 2  19","Timber"
"DL1_2010__Proenca 2  20","Timber"
"DL1_2010__Proenca 2  21","Timber"
"DL1_2010__Proenca 2  22","Timber"
"DL1_2010__Proenca 2  23","Timber"
"DL1_2010__Proenca 2  24","Timber"
"DL1_2010__Proenca 2  25","Timber"
"DL1_2010__Proenca 2  26","Timber"
"FB1_2007a_Barlow 1  2","Timber"
"FB1_2007a_Barlow 2  2","Timber"
"HB1_2004__Verhulst 1  2","Perennial"
"HB1_2004__Verhulst 1  5","Perennial"
"HB1_2008__Sakchoowong 1  5","Timber"
"HB1_2008__Sedlock 1 south 4","Perennial"
"HP1_2004__Pineda 1  6","Perennial"
"HP1_2004__Pineda 1  7","Perennial"
"HP1_2004__Pineda 1  8","Perennial"
"HP1_2005__Hietz 1  2","Perennial"
"HP1_2005__Hietz 1  3","Perennial"
"HP1_2005__Hietz 1  4","Perennial"
"HP1_2005__Hietz 1  5","Perennial"
"HP1_2005__Hietz 1  6","Perennial"
"HP1_2005__Hietz 1  7","Perennial"
"HP1_2005__Hietz 1  9","Perennial"
"HP1_2005__Hietz 1  10","Perennial"
"HP1_2005__Kessler 1  5","Perennial"
"HP1_2005__Kessler 1  6","Perennial"
"HP1_2005__Kessler 1  7","Perennial"
"HP1_2005__Kessler 1  8","Perennial"
"HP1_2005__Kessler 1  9","Perennial"
"HP1_2005__Kessler 1  10","Perennial"
"HP1_2005__Kessler 1  11","Perennial"
"HP1_2005__Kessler 1  12","Perennial"
"HP1_2005__Kessler 1  13","Perennial"
"HP1_2005__Kessler 1  14","Perennial"
"HP1_2005__Kessler 1  15","Perennial"
"HP1_2007b_Barlow 1  3","Timber"
"HP1_2007c_Barlow 1  3","Timber"
"HP1_2007c_Barlow 2  3","Timber"
"HP1_2007c_Barlow 3  3","Timber"
"HP1_2007c_Barlow 4  3","Timber"
"HP1_2007c_Barlow 5  3","Timber"
"HP1_2007__Ranganathan 1 0 3","Perennial"
"HP1_2007__Ranganathan 1 1 9","Perennial"
"HP1_2007__Ranganathan 1 16 14","Perennial"
"HP1_2007__Ranganathan 1 17 20","Perennial"
"HP1_2007__Ranganathan 1 18 24","Perennial"
"HP1_2007__Ranganathan 1 19 29","Perennial"
"HP1_2007__Ranganathan 1 21 35","Perennial"
"HP1_2007__Ranganathan 1 24 41","Perennial"
"HP1_2007__Ranganathan 1 4 47","Perennial"
"HP1_2007__Ranganathan 1 7 53","Perennial"
"HP1_2007__Ranganathan 1 8 59","Perennial"
"HP1_2007__Ranganathan 1 9 64","Perennial"
"HP1_2007__Willig 1 1 3","Perennial"
"HP1_2007__Willig 1 2 6","Perennial"
"HP1_2007__Willig 1 3 9","Perennial"
"HP1_2007__Willig 1 4 10","Perennial"
"HP1_2007__Willig 1 5 14","Perennial"
"HP1_2008__Farwig 1  1","Secondary vegetation and Timber Light and Intense"
"HP1_2008__Farwig 1  2","Secondary vegetation and Timber Light and Intense"
"HP1_2008__Farwig 1  3","Secondary vegetation and Timber Light and Intense"
"HP1_2008__Farwig 1  4","Secondary vegetation and Timber Light and Intense"
"HP1_2008__Farwig 1  5","Secondary vegetation and Timber Light and Intense"
"HP1_2008__Farwig 1  6","Secondary vegetation and Timber Light and Intense"
"HP1_2008__Farwig 1  7","Timber"
"HP1_2008__Farwig 1  8","Timber"
"HP1_2008__Farwig 1  9","Timber"
"HP1_2008__Ranganathan 1  5","Perennial"
"HP1_2008__Ranganathan 1  6","Perennial"
"HP1_2009__Hawes 1  1","Secondary vegetation and Timber Light and Intense"
"HP1_2009__Hawes 1  2","Secondary vegetation and Timber Light and Intense"
"HP1_2009__Hawes 1  3","Secondary vegetation and Timber Light and Intense"
"HP1_2009__Hawes 1  4","Secondary vegetation and Timber Light and Intense"
"HP1_2009__Hawes 1  10","Secondary vegetation and Timber Light and Intense"
"HP1_2009__Horgan 1  3","Perennial"
"HP1_2009__Horgan 1  5","Perennial"
"HP1_2009__Horgan 1  7","Perennial"
"HP1_2009__Horgan 1  9","Perennial"
"HP1_2009__Horgan 1  12","Perennial"
"HP1_2009__Horgan 1  15","Timber"
"HP1_2009__Horgan 1  16","Annual_nitrogen"
"HP1_2009__Horgan 1  17","Perennial"
"HP1_2009__Hylander 1  1","Perennial"
"HP1_2009__Hylander 1  2","Perennial"
"HP1_2009__Hylander 1  3","Perennial"
"HP1_2009__Hylander 1  4","Perennial"
"HP1_2009__Hylander 1  5","Perennial"
"HP1_2009__Hylander 1  6","Perennial"
"HP1_2009__Hylander 1  7","Perennial"
"HP1_2009__Hylander 1  8","Perennial"
"HP1_2009__Hylander 1  9","Perennial"
"HP1_2009__Hylander 1  10","Perennial"
"HP1_2009__Hylander 1  11","Perennial"
"HP1_2009__Hylander 1  12","Perennial"
"HP1_2009__Hylander 1  13","Perennial"
"HP1_2009__Hylander 1  14","Perennial"
"HP1_2009__Hylander 1  30","Perennial"
"HP1_2009__Hylander 1  31","Perennial"
"HP1_2009__Hylander 1  32","Perennial"
"HP1_2009__Hylander 1  33","Perennial"
"HP1_2009__Hylander 1  34","Perennial"
"HP1_2009__Hylander 1  35","Perennial"
"HP1_2009__Hylander 1  36","Perennial"
"HP1_2009__Hylander 1  37","Perennial"
"HP1_2009__Hylander 1  38","Perennial"
"HP1_2009__Hylander 1  39","Perennial"
"HP1_2009__Hylander 1  40","Perennial"
"HP1_2009__Hylander 1  41","Perennial"
"HP1_2009__Hylander 1  42","Perennial"
"HP1_2009__Hylander 2  1","Perennial"
"HP1_2009__Hylander 2  2","Perennial"
"HP1_2009__Hylander 2  3","Perennial"
"HP1_2009__Hylander 2  4","Perennial"
"HP1_2009__Hylander 2  5","Perennial"
"HP1_2009__Hylander 2  6","Perennial"
"HP1_2009__Hylander 2  7","Perennial"
"HP1_2009__Hylander 2  8","Perennial"
"HP1_2009__Hylander 2  9","Perennial"
"HP1_2009__Hylander 2  10","Perennial"
"HP1_2009__Hylander 2  11","Perennial"
"HP1_2009__Hylander 2  12","Perennial"
"HP1_2009__Hylander 2  13","Perennial"
"HP1_2009__Hylander 2  14","Perennial"
"HP1_2009__Hylander 2  30","Perennial"
"HP1_2009__Hylander 2  31","Perennial"
"HP1_2009__Hylander 2  32","Perennial"
"HP1_2009__Hylander 2  33","Perennial"
"HP1_2009__Hylander 2  34","Perennial"
"HP1_2009__Hylander 2  35","Perennial"
"HP1_2009__Hylander 2  36","Perennial"
"HP1_2009__Hylander 2  37","Perennial"
"HP1_2009__Hylander 2  38","Perennial"
"HP1_2009__Hylander 2  39","Perennial"
"HP1_2009__Hylander 2  40","Perennial"
"HP1_2009__Hylander 2  41","Perennial"
"HP1_2009__Hylander 2  42","Perennial"
"HP1_2009__Hylander 3  1","Perennial"
"HP1_2009__Hylander 3  2","Perennial"
"HP1_2009__Hylander 3  3","Perennial"
"HP1_2009__Hylander 3  4","Perennial"
"HP1_2009__Hylander 3  5","Perennial"
"HP1_2009__Hylander 3  6","Perennial"
"HP1_2009__Hylander 3  7","Perennial"
"HP1_2009__Hylander 3  8","Perennial"
"HP1_2009__Hylander 3  9","Perennial"
"HP1_2009__Hylander 3  10","Perennial"
"HP1_2009__Hylander 3  11","Perennial"
"HP1_2009__Hylander 3  12","Perennial"
"HP1_2009__Hylander 3  13","Perennial"
"HP1_2009__Hylander 3  14","Perennial"
"HP1_2009__Hylander 3  30","Perennial"
"HP1_2009__Hylander 3  31","Perennial"
"HP1_2009__Hylander 3  32","Perennial"
"HP1_2009__Hylander 3  33","Perennial"
"HP1_2009__Hylander 3  34","Perennial"
"HP1_2009__Hylander 3  35","Perennial"
"HP1_2009__Hylander 3  36","Perennial"
"HP1_2009__Hylander 3  37","Perennial"
"HP1_2009__Hylander 3  38","Perennial"
"HP1_2009__Hylander 3  39","Perennial"
"HP1_2009__Hylander 3  40","Perennial"
"HP1_2009__Hylander 3  41","Perennial"
"HP1_2009__Hylander 3  42","Perennial"
"HP1_2009__Hylander 4  1","Perennial"
"HP1_2009__Hylander 4  2","Perennial"
"HP1_2009__Hylander 4  3","Perennial"
"HP1_2009__Hylander 4  4","Perennial"
"HP1_2009__Hylander 4  5","Perennial"
"HP1_2009__Hylander 4  6","Perennial"
"HP1_2009__Hylander 4  7","Perennial"
"HP1_2009__Hylander 4  8","Perennial"
"HP1_2009__Hylander 4  9","Perennial"
"HP1_2009__Hylander 4  10","Perennial"
"HP1_2009__Hylander 4  11","Perennial"
"HP1_2009__Hylander 4  12","Perennial"
"HP1_2009__Hylander 4  13","Perennial"
"HP1_2009__Hylander 4  14","Perennial"
"HP1_2009__Hylander 4  30","Perennial"
"HP1_2009__Hylander 4  31","Perennial"
"HP1_2009__Hylander 4  32","Perennial"
"HP1_2009__Hylander 4  33","Perennial"
"HP1_2009__Hylander 4  34","Perennial"
"HP1_2009__Hylander 4  35","Perennial"
"HP1_2009__Hylander 4  36","Perennial"
"HP1_2009__Hylander 4  37","Perennial"
"HP1_2009__Hylander 4  38","Perennial"
"HP1_2009__Hylander 4  39","Perennial"
"HP1_2009__Hylander 4  40","Perennial"
"HP1_2009__Hylander 4  41","Perennial"
"HP1_2009__Kessler 1  5","Perennial"
"HP1_2009__Kessler 1  6","Perennial"
"HP1_2009__Kessler 1  7","Perennial"
"HP1_2009__Kessler 1  8","Perennial"
"HP1_2009__Kessler 1  9","Perennial"
"HP1_2009__Kessler 1  10","Perennial"
"HP1_2009__Kessler 1  11","Perennial"
"HP1_2009__Kessler 1  12","Perennial"
"HP1_2009__Kessler 1  13","Perennial"
"HP1_2009__Kessler 1  14","Perennial"
"HP1_2009__Kessler 1  15","Perennial"
"HP1_2009__Kessler 2  5","Perennial"
"HP1_2009__Kessler 2  6","Perennial"
"HP1_2009__Kessler 2  7","Perennial"
"HP1_2009__Kessler 2  8","Perennial"
"HP1_2009__Kessler 2  9","Perennial"
"HP1_2009__Kessler 2  10","Perennial"
"HP1_2009__Kessler 2  11","Perennial"
"HP1_2009__Kessler 2  12","Perennial"
"HP1_2009__Kessler 2  13","Perennial"
"HP1_2009__Kessler 2  14","Perennial"
"HP1_2009__Kessler 2  15","Perennial"
"HP1_2009__Kessler 3  5","Perennial"
"HP1_2009__Kessler 3  6","Perennial"
"HP1_2009__Kessler 3  7","Perennial"
"HP1_2009__Kessler 3  8","Perennial"
"HP1_2009__Kessler 3  9","Perennial"
"HP1_2009__Kessler 3  10","Perennial"
"HP1_2009__Kessler 3  11","Perennial"
"HP1_2009__Kessler 3  12","Perennial"
"HP1_2009__Kessler 3  13","Perennial"
"HP1_2009__Kessler 3  14","Perennial"
"HP1_2009__Kessler 3  15","Perennial"
"HP1_2009__Kessler 4  5","Perennial"
"HP1_2009__Kessler 4  6","Perennial"
"HP1_2009__Kessler 4  7","Perennial"
"HP1_2009__Kessler 4  8","Perennial"
"HP1_2009__Kessler 4  9","Perennial"
"HP1_2009__Kessler 4  10","Perennial"
"HP1_2009__Kessler 4  11","Perennial"
"HP1_2009__Kessler 4  12","Perennial"
"HP1_2009__Kessler 4  13","Perennial"
"HP1_2009__Kessler 4  14","Perennial"
"HP1_2009__Kessler 4  15","Perennial"
"HP1_2009__Kessler 5  5","Perennial"
"HP1_2009__Kessler 5  6","Perennial"
"HP1_2009__Kessler 5  7","Perennial"
"HP1_2009__Kessler 5  8","Perennial"
"HP1_2009__Kessler 5  9","Perennial"
"HP1_2009__Kessler 5  10","Perennial"
"HP1_2009__Kessler 5  11","Perennial"
"HP1_2009__Kessler 5  12","Perennial"
"HP1_2009__Kessler 5  13","Perennial"
"HP1_2009__Kessler 5  14","Perennial"
"HP1_2009__Kessler 5  15","Perennial"
"HP1_2009__Schmitt 1  4","Perennial"
"HP1_2009__Schmitt 1  7","Perennial"
"HP1_2009__Schmitt 1  8","Perennial"
"HP1_2009__Schmitt 1  9","Perennial"
"HP1_2009__Schmitt 1  10","Perennial"
"HP1_2009__Schmitt 1  11","Perennial"
"HP1_2009__Schmitt 1  16","Perennial"
"HP1_2009__Schmitt 1  17","Perennial"
"HP1_2009__Schmitt 1  18","Perennial"
"HP1_2009__Schmitt 1  19","Perennial"
"HP1_2009__Schmitt 1  20","Perennial"
"HP1_2009__Schmitt 2  4","Perennial"
"HP1_2009__Schmitt 2  7","Perennial"
"HP1_2009__Schmitt 2  8","Perennial"
"HP1_2009__Schmitt 2  9","Perennial"
"HP1_2009__Schmitt 2  10","Perennial"
"HP1_2009__Schmitt 2  11","Perennial"
"HP1_2009__Schmitt 2  16","Perennial"
"HP1_2009__Schmitt 2  17","Perennial"
"HP1_2009__Schmitt 2  18","Perennial"
"HP1_2009__Schmitt 2  19","Perennial"
"HP1_2009__Schmitt 2  20","Perennial"
"HP1_2009__Schmitt 3  4","Perennial"
"HP1_2009__Schmitt 3  7","Perennial"
"HP1_2009__Schmitt 3  8","Perennial"
"HP1_2009__Schmitt 3  9","Perennial"
"HP1_2009__Schmitt 3  10","Perennial"
"HP1_2009__Schmitt 3  11","Perennial"
"HP1_2009__Schmitt 3  16","Perennial"
"HP1_2009__Schmitt 3  17","Perennial"
"HP1_2009__Schmitt 3  18","Perennial"
"HP1_2009__Schmitt 3  19","Perennial"
"HP1_2009__Schmitt 3  20","Perennial"
"HP1_2014__Gray 1 OP1_1 71","Perennial"
"HP1_2014__Gray 1 OP1_1 72","Perennial"
"HP1_2014__Gray 1 OP1_2 73","Perennial"
"HP1_2014__Gray 1 OP1_2 74","Perennial"
"HP1_2014__Gray 1 OP1_2 75","Perennial"
"HP1_2014__Gray 1 OP1_3 76","Perennial"
"HP1_2014__Gray 1 OP1_3 77","Perennial"
"HP1_2014__Gray 1 OP1_3 78","Perennial"
"HP1_2014__Gray 1 OP1_4 79","Perennial"
"HP1_2014__Gray 1 OP1_4 80","Perennial"
"HP1_2014__Gray 1 OP1_4 81","Perennial"
"HP1_2014__Gray 1 OP10_1 82","Perennial"
"HP1_2014__Gray 1 OP10_1 83","Perennial"
"HP1_2014__Gray 1 OP10_1 84","Perennial"
"HP1_2014__Gray 1 OP10_2 85","Perennial"
"HP1_2014__Gray 1 OP10_2 86","Perennial"
"HP1_2014__Gray 1 OP10_2 87","Perennial"
"HP1_2014__Gray 1 OP10_3 88","Perennial"
"HP1_2014__Gray 1 OP10_3 89","Perennial"
"HP1_2014__Gray 1 OP10_3 90","Perennial"
"HP1_2014__Gray 1 OP10_4 91","Perennial"
"HP1_2014__Gray 1 OP10_4 92","Perennial"
"HP1_2014__Gray 1 OP10_4 93","Perennial"
"HP1_2014__Gray 1 OP11_1 94","Perennial"
"HP1_2014__Gray 1 OP11_1 95","Perennial"
"HP1_2014__Gray 1 OP11_2 96","Perennial"
"HP1_2014__Gray 1 OP11_3 97","Perennial"
"HP1_2014__Gray 1 OP11_3 98","Perennial"
"HP1_2014__Gray 1 OP11_3 99","Perennial"
"HP1_2014__Gray 1 OP11_4 100","Perennial"
"HP1_2014__Gray 1 OP11_4 101","Perennial"
"HP1_2014__Gray 1 OP2_1 102","Perennial"
"HP1_2014__Gray 1 OP2_1 103","Perennial"
"HP1_2014__Gray 1 OP2_1 104","Perennial"
"HP1_2014__Gray 1 OP2_2 105","Perennial"
"HP1_2014__Gray 1 OP2_2 106","Perennial"
"HP1_2014__Gray 1 OP2_2 107","Perennial"
"HP1_2014__Gray 1 OP2_3 108","Perennial"
"HP1_2014__Gray 1 OP2_3 109","Perennial"
"HP1_2014__Gray 1 OP2_3 110","Perennial"
"HP1_2014__Gray 1 OP2_4 111","Perennial"
"HP1_2014__Gray 1 OP2_4 112","Perennial"
"HP1_2014__Gray 1 OP2_4 113","Perennial"
"HP1_2014__Gray 1 OP3_1 114","Perennial"
"HP1_2014__Gray 1 OP3_1 115","Perennial"
"HP1_2014__Gray 1 OP3_1 116","Perennial"
"HP1_2014__Gray 1 OP3_2 117","Perennial"
"HP1_2014__Gray 1 OP3_2 118","Perennial"
"HP1_2014__Gray 1 OP3_2 119","Perennial"
"HP1_2014__Gray 1 OP3_3 120","Perennial"
"HP1_2014__Gray 1 OP3_3 121","Perennial"
"HP1_2014__Gray 1 OP3_3 122","Perennial"
"HP1_2014__Gray 1 OP3_4 123","Perennial"
"HP1_2014__Gray 1 OP3_4 124","Perennial"
