Model;Scenario;Region;Variable;Unit;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;2055;2060;2065;2070;2075;2080;2085;2090;2095;2100;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Food Energy Supply;EJ/yr;0.6712;0.6962;0.7142;0.7268;0.7241;0.7048;0.6813;0.6622;0.6475;0.6358;0.6295;0.6226;0.6139;0.6036;0.5924;0.5806;0.5674;0.5532;0.5382;0.5224;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Food Energy Supply|Crops;EJ/yr;0.518;0.5351;0.5523;0.5664;0.5756;0.575;0.5672;0.5577;0.5487;0.5405;0.5351;0.5292;0.5218;0.5131;0.5036;0.4935;0.4823;0.4702;0.4574;0.4441;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Food Energy Supply|Crops|Per Capita;kcal/cap/day;2230.1621;2270.222;2318.2824;2365.8797;2403.4874;2409.5994;2391.1191;2368.8276;2350.9338;2337.5;2337.5;2337.5;2337.5;2337.5;2337.5;2337.5;2337.5;2337.5;2337.5;2337.5;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Food Energy Supply|Livestock;EJ/yr;0.1532;0.1611;0.1619;0.1604;0.1485;0.1297;0.1141;0.1045;0.0988;0.0954;0.0944;0.0934;0.0921;0.0905;0.0889;0.0871;0.0851;0.083;0.0807;0.0784;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Food Energy Supply|Livestock|Per Capita;kcal/cap/day;659.6899;683.5189;679.5094;670.1542;620.0707;543.6228;481.1889;443.7503;423.4197;412.5;412.5;412.5;412.5;412.5;412.5;412.5;412.5;412.5;412.5;412.5;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Food Energy Supply|Per Capita;kcal/cap/day;2889.852;2953.7409;2997.7918;3036.0339;3023.5582;2953.2222;2872.308;2812.5779;2774.3535;2750;2750;2750;2750;2750;2750;2750;2750;2750;2750;2750;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;GDP per capita|MER;US$2005/cap/yr;35178.6355;36266.9185;36940.5463;38164.8554;39631.6464;40985.8028;42009.0227;42884.984;43902.5704;44870.1571;45922.5783;47162.3451;48562.4281;50071.9405;51557.7612;53025.1597;54546.4147;56127.5189;57777.5099;59474.4441;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;GDP|MER;billion US$2005/yr;5.3502;5.5978;5.7628;5.9827;6.2147;6.4048;6.5251;6.6112;6.7098;6.7932;6.8833;6.9917;7.0985;7.1969;7.2731;7.3305;7.3694;7.3935;7.404;7.3983;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Land Cover;million ha;818.636;818.636;818.636;818.636;818.636;818.636;818.636;818.636;818.636;818.636;818.636;818.636;818.636;818.636;818.636;818.636;818.636;818.636;818.636;818.636;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Land Cover|Built-up Area;million ha;5.6244;5.6244;5.6244;5.6244;5.6244;5.6244;5.6244;5.6244;5.6244;5.6244;5.6244;5.6244;5.6244;5.6244;5.6244;5.6244;5.6244;5.6244;5.6244;5.6244;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Land Cover|Cropland;million ha;33.4597;33.4724;33.3026;32.9341;33.0226;31.2645;31.2739;36.5371;38.4387;38.4384;35.758;35.7532;34.4999;29.2663;29.27;29.27;29.27;30.1096;29.8311;29.0672;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Land Cover|Cropland|Cereals;million ha;12.9932;12.5656;12.1169;11.5611;10.6685;8.8043;7.9287;9.2038;9.6548;9.8656;9.1991;8.9383;8.8675;7.5424;7.3175;7.3175;7.3443;7.6131;7.7148;7.5123;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Land Cover|Cropland|Energy Crops;million ha;1e-04;0.5552;0.9149;1.9696;5.351;8.1674;11.2777;16.0666;19.2811;19.4087;17.3923;18.1116;15.5377;12.8181;15.2966;16.4521;17.3102;18.2069;17.5556;16.773;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Land Cover|Cropland|Energy Crops|Irrigated;million ha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Land Cover|Cropland|Irrigated;million ha;7.9178;7.7482;8.0898;8.0672;7.8087;7.8001;7.8886;4.8705;3.9304;3.8453;3.7263;3.2478;3.5609;3.63;2.6629;2.7053;2.4689;1.6143;2.4108;1.1248;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Land Cover|Forest;million ha;105.9903;105.9731;105.9731;105.9731;105.9731;105.9731;105.9731;105.9731;105.9731;105.9903;105.9903;105.9903;105.9903;105.9903;105.9903;105.9903;105.9903;105.9903;105.9903;105.9903;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Land Cover|Forest|Afforestation and Reforestation;million ha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Land Cover|Forest|Forestry;million ha;13.939;13.939;13.939;13.939;13.939;13.939;13.939;13.939;13.939;13.939;13.939;13.939;13.939;13.939;13.939;13.939;13.939;13.939;13.939;13.939;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Land Cover|Forest|Natural Forest;million ha;92.0513;92.0341;92.0341;92.0341;92.0341;92.0341;92.0341;92.0341;92.0341;92.0513;92.0513;92.0513;92.0513;92.0513;92.0513;92.0513;92.0513;92.0513;92.0513;92.0513;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Land Cover|Other Natural Land;million ha;361.679;361.679;361.679;361.679;361.679;361.679;361.679;361.679;361.679;361.679;361.679;361.679;361.679;361.679;361.679;361.679;361.679;361.679;361.679;361.679;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Land Cover|Pasture;million ha;311.8825;311.8825;311.8669;78.6873;70.3083;58.8813;49.73;44.4668;37.9713;31.4156;28.2694;28.2694;26.2417;24.9078;17.2833;15.2912;13.5122;12.6726;7.6123;6.9672;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Land Cover|Restoration land;million ha;0;0.0045;0.1899;233.738;242.0285;255.2135;264.3554;264.3554;268.9494;275.4883;281.3148;281.3196;284.6006;291.1682;298.7889;300.781;302.5601;302.5601;307.8989;309.3079;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Population;million;152.0872;154.3503;156.0011;156.7585;156.8114;156.2676;155.3255;154.161;152.8336;151.3977;149.8886;148.2471;146.1728;143.732;141.0673;138.2459;135.1027;131.7269;128.1467;124.394;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Price|Agriculture|Cereals|Index;2005=1;1;0.97;1.04;1.02;0.99;1;0.98;1;0.94;0.95;0.86;1.09;0.96;1.03;1.29;1.39;1.52;1.68;1.73;1.97;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Price|Agriculture|Corn|Index;2005=1;1;1.01;1.03;1.05;0.97;0.95;1.09;1.14;1.02;0.94;1;1.06;1.1;1.16;1.24;1.36;1.57;1.73;2.02;2.33;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Price|Agriculture|Livestock|Index;Index (2005 = 1);1;1.01;1.21;1.29;1.34;1.32;1.44;1.56;1.54;1.47;1.41;1.76;1.71;1.86;2.31;2.69;2.94;3.36;3.7;4.31;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Price|Agriculture|Non-Energy Crops and Livestock|Index;Index (2005 = 1);1;0.99;1.13;1.18;1.21;1.19;1.27;1.35;1.33;1.28;1.22;1.48;1.42;1.53;1.86;2.11;2.29;2.58;2.79;3.22;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Price|Agriculture|Non-Energy Crops|Index;Index (2005 = 1);1;0.97;1.01;1.01;0.99;0.99;1.01;1.02;1;0.97;0.91;1.04;0.97;1;1.13;1.2;1.26;1.34;1.34;1.48;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Price|Agriculture|Oilcrops|Index;2005=1;1;1.03;1.04;1.07;1.01;0.99;1.14;1.2;1.2;1.15;1.13;1.21;1.21;1.21;1.24;1.26;1.3;1.3;1.28;1.41;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Price|Agriculture|Soybean|Index;2005=1;1;1.02;1;1.03;0.96;0.95;1.08;1.14;1.14;1.08;1.07;1.11;1.13;1.11;1.08;1.05;1.03;1;0.95;1.04;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Price|Agriculture|Sugarcrops|Index;2005=1;1;0.92;0.97;0.99;1.01;1;1.01;1;0.98;0.88;0.88;0.93;0.94;0.97;1.04;1.16;1.18;1.28;1.33;1.45;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Price|Agriculture|Wheat|Index;2005=1;1;0.94;0.93;0.86;0.84;0.84;0.71;0.71;0.64;0.65;0.67;0.83;0.83;0.92;1.05;1.16;1.34;1.5;1.76;2.04;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Price|Carbon;US$2005/t CO2;0;0;79.32;104;135.9;176.6;227.2;294.5;377.7;480.6;613.8;853.8;1019.9;1186;1555;1924;2484.9999;3046;3899.9999;4754.0001;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Price|Primary Energy|Biomass;US$2005/GJ;7.0216;15.4255;17.2967;18.4408;20.0552;21.6035;27.0006;37.2615;51.5754;43.0834;23.6356;40.9114;24.2087;19.4573;48.1455;59.3785;71.5731;77.6041;38.9088;38.3311;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Water|Withdrawal|Irrigation;million m3/yr;93589;91341;94547;95650;90529;89901;91639;73269;62681;60778;52914;49996;50226;50778;42744;42353;39753;30529;34379;20778;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Yield|Cereal;t DM/ha/yr;2.9414;3.1029;3.3437;3.627;3.9358;4.4585;5.0137;4.9861;5.4114;5.571;5.7749;5.7255;5.8265;6.3533;6.3445;6.7612;7.3075;7.557;7.6324;7.6702;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Yield|Oilcrops;t DM/ha/yr;1.2937;1.8981;2.3561;2.5643;2.38;2.5072;2.9249;2.6798;2.1288;2.0689;5.2328;3.0994;4.9014;5.1447;5.8171;6.2309;6.8479;2.8646;2.451;1.9068;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Yield|Sugarcrops;t DM/ha/yr;30.7507;32.8461;35.7239;38.5245;41.7789;44.2289;48.0337;54.5879;63.6173;65.9151;65.9391;66.1875;66.2164;66.2494;67.945;73.4281;80.3085;87.0304;87.0697;87.1084;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;CHN;Agricultural Demand;million t DM/yr;744.7175;856.881;921.2016;972.8444;947.2682;1128.0571;1629.2261;2218.8463;2670.5273;2788.7832;2764.6123;2730.6985;2697.2761;2663.1875;2595.5257;2527.8275;2476.1568;2456.5663;2391.5478;2317.2575;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;CHN;Agricultural Demand|Bioenergy;million t DM/yr;2.4506;7.9242;6.7086;16.5892;23.0033;264.2211;844.1874;1509.1706;2010.8541;2161.808;2159.5634;2149.4624;2140.4837;2131.505;2088.5757;2045.6464;2017.5881;1989.5297;1934.2547;1878.9798;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;CHN;Agricultural Demand|Bioenergy|1st generation;million t DM/yr;2.45;4.248;6.708;9.17;9.17;9.17;9.17;9.17;9.17;9.17;9.17;9.17;9.17;9.17;9.17;9.17;9.17;9.17;9.17;9.17;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;CHN;Agricultural Demand|Bioenergy|2nd generation;million t DM/yr;6e-04;3.6762;6e-04;7.4192;13.8333;255.0511;835.0174;1500.0006;2001.6841;2152.638;2150.3934;2140.2924;2131.3137;2122.335;2079.4057;2036.4764;2008.4181;1980.3597;1925.0847;1869.8098;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;CHN;Agricultural Demand|Crops|Feed;million t DM/yr;201.0235;279.7034;325.8213;353.4575;314.9928;262.376;201.3141;146.2456;115.2709;101.7107;97.0066;92.2564;87.3579;82.5215;77.7729;73.1802;68.7427;96.0705;103.2836;99.7944;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;CHN;Agricultural Demand|Crops|Food;million t DM/yr;409.6418;416.3269;417.919;418.7435;426.3829;436.7983;439.8759;435.1689;425.5137;412.7268;398.4741;382.8625;366.6073;350.1911;333.7826;317.3586;301.2888;286.0278;271.9188;258.9748;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;CHN;Agricultural Demand|Crops|Other;million t DM/yr;87.6287;94.4796;99.4114;103.0538;105.9815;103.2244;97.1714;90.9586;87.016;83.9808;82.1086;79.8617;77.8504;75.2676;72.9699;70.4793;68.6294;66.0833;64.2767;62.6884;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;CHN;Agricultural Demand|Feed;million t DM/yr;202.0385;281.2698;327.7983;355.738;317.1649;264.1061;202.6048;147.2533;116.1118;102.4476;97.6987;92.9026;87.9581;83.0775;78.2862;73.6528;69.1765;96.4789;103.6632;100.1447;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;CHN;Agricultural Demand|Food;million t DM/yr;451.5674;472.0546;486.0333;496.1447;499.8272;495.2344;484.1015;470.442;455.6135;439.6622;424.3903;407.6566;390.206;372.5968;354.9904;337.3823;320.1321;303.7589;288.6258;274.7443;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;CHN;Agricultural Demand|Livestock|Feed;million t DM/yr;1.015;1.5664;1.977;2.2805;2.1721;1.7301;1.2908;1.0077;0.841;0.737;0.6921;0.6462;0.6002;0.5559;0.5133;0.4727;0.4338;0.4083;0.3795;0.3503;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;CHN;Agricultural Demand|Livestock|Food;million t DM/yr;41.9256;55.7277;68.1143;77.4012;73.4443;58.4361;44.2255;35.2731;30.0998;26.9353;25.9162;24.7942;23.5987;22.4058;21.2078;20.0237;18.8433;17.7311;16.707;15.7696;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;CHN;Agricultural Demand|Livestock|Other;million t DM/yr;1.0324;1.1527;1.2501;1.3187;1.2912;1.2711;1.161;1.0217;0.932;0.8846;0.8512;0.8152;0.7779;0.7405;0.7035;0.6667;0.6308;0.7156;0.7274;0.7002;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;CHN;Agricultural Demand|Other;million t DM/yr;88.6611;95.6323;100.6615;104.3725;107.2727;104.4955;98.3324;91.9803;87.948;84.8654;82.9599;80.6769;78.6282;76.0081;73.6734;71.146;69.2602;66.7989;65.0041;63.3887;
